ID_Cultivo;Nombre;ID_Campo;Campo;ID_Lote;Lote;Actividad;Actividad;Especie;Especie;Has a aplicar;Hectáreas;Puerto;Hectáreas Sembradas;Hectáreas Cosechadas;Puerto;Distancia Puerto;Código Sima;Coordenadas;Activo;ID_Dimension;Dimensión;ID_IT_Dimension;IT_Dimension;Socio;Ciclo;Peso 1000;Densidad;Años Rot/Dir;% E.G.;Antecesor;Pl.Nacidas;Pl.Cosecha;Nitrógeno PPM;Nitrógeno KG;Fosforo PPM;Fosforo KG;Materia Orgánica Sulfato;Materia Orgánica Total;Nitrógeno PPP 0-20;Nitrógeno KG 0-20;Nitrógeno PPP 20-40;Nitrógeno KG 20-40;Nitrógeno PPP 40-60;Nitrógeno KG 40-60;Azufre PPM;Azufre KG;Personal Responsable;Hectáreas Perdidas;Hectáreas No Cosechadas;Responsable;Zona;Categoría de semilla;Rinde Esperado;Es de agricultura intensiva
1274;LA TERESA PARCELA ACEVEN 26/27;245;LA TERESA;1029;PARCELA ACEVEN;76;PARCELA ACEVEN;79;PARCELA ACEVEN;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA ACEVEN 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1275;LA TERESA PARCELA ARROZ 26/27;245;LA TERESA;1027;PARCELA ARROZ;74;PARCELA ARROZ;77;PARCELA ARROZ;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1276;LA TERESA PARCELA AVIACION 26/27;245;LA TERESA;1181;PARCELA AVIACION;93;PARCELA AVIACION;96;PARCELA AVIACION;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA AVIACION 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1277;LA TERESA PARCELA DE AVENA 26/27;245;LA TERESA;1196;PARCELA DE AVENA;89;AVENA;92;AVENA;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA DE AVENA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1278;LA TERESA PARCELA DE SORGO 26/27;245;LA TERESA;1193;PARCELA DE SORGO;94;PARCELA SORGO;97;PARCELA SORGO;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA DE SORGO 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1279;LA TERESA PARCELA MAIZ 26/27;245;LA TERESA;1030;PARCELA MAIZ;77;PARCELA MAIZ;80;PARCELA MAIZ;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA MAIZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1280;LA TERESA PARCELA MAIZ ZAFRIÑA 26/27;245;LA TERESA;1078;PARCELA MAIZ ZAFRIÑA;57;MAIZ ZAFRIÑA;75;MAIZ ZAFRIÑA;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA MAIZ ZAFRIÑA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1281;LA TERESA PARCELA SOJA 26/27;245;LA TERESA;1028;PARCELA SOJA;75;PARCELA SOJA;78;PARCELA SOJA;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PARCELA SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1282;LA TERESA .03A AVENA 26/27;245;LA TERESA;741;.03A;89;AVENA;92;AVENA;;41,2;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .03A SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1283;LA TERESA .03B AVENA 26/27;245;LA TERESA;742;.03B;89;AVENA;92;AVENA;;37,4;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .03B AVENA 25/26, LA TERESA .03B SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
