actividad,campo,lote,zona,estadio,servicio,fechaTeorica,mes,tipoInsumo,insumo,unidadMedida,ordenTrabajo,contratista,fechaReal,dosisTeoricas,hectareasTeoricas,dosisReales,hectareasReales,totalAplicado,estado,facturada,fechaFacturacion,responsable,precioUnitario,costoLabor,costoInsumo,empresa,cultivo,categoria,insumoServicio,tipoInsumoServicio,fecha,unidadesDosis,total,socio,puntoStock,numeroOrdenTrabajo,referencia,cateogria_Hacienda,agrupadorCategoriaHacienda,rodeoHacienda,tipoHacienda,cantidadAnimales,negocioHacienda,hsPersonal,hsMaquinarias,iD_IT_Orden_Trabajo,personal,referenciaAsiento,campania,tercero,cantidadResultado,observaciones,descripcion,recursosPersonal,recursosMaquinaria,tipoItem,toneladas,tarifaCatac,cultivoTercero,velocidadAplicacion,velocidadViento,estadoClima,caudal
ARROZ,LA TERESA,142,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1901,Cedrela S.A,2026-03-05T00:00:00,0.1463,41,0.1463,41,6,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,252.1908,0,Desarrollo del Sur SA,LA TERESA 142 ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,6,252.1908,,,,2026 - OT - 1901,,,,,0,,0,0,79622,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,140,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1902,Cedrela S.A,2026-03-05T00:00:00,0.0643,77.71,0.0643,77.71,5,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,210.159,0,Desarrollo del Sur SA,LA TERESA 140 ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,5,210.159,,,,2026 - OT - 1902,,,,,0,,0,0,79623,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,147A,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1903,Cedrela S.A,2026-03-05T00:00:00,0.2963,13.5,0.2963,13.5,4,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,168.1272,0,Desarrollo del Sur SA,LA TERESA 147A ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,4,168.1272,,,,2026 - OT - 1903,,,,,0,,0,0,79624,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,153,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1905,Cedrela S.A,2026-03-05T00:00:00,0.3057,19.63,0.3057,19.63,6,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,252.1908,0,Desarrollo del Sur SA,LA TERESA 153 ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,6,252.1908,,,,2026 - OT - 1905,,,,,0,,0,0,79626,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,151,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1906,Cedrela S.A,2026-03-05T00:00:00,0.1367,29.27,0.1367,29.27,4,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,168.1272,0,Desarrollo del Sur SA,LA TERESA 151 ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,4,168.1272,,,,2026 - OT - 1906,,,,,0,,0,0,79627,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,154,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1908,Cedrela S.A,2026-03-05T00:00:00,0.1903,26.27,0.1903,26.27,5,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,210.159,0,Desarrollo del Sur SA,LA TERESA 154 ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,5,210.159,,,,2026 - OT - 1908,,,,,0,,0,0,79629,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,146A,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1911,Cedrela S.A,2026-03-05T00:00:00,0.1622,18.5,0.1622,18.5,3,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,126.0954,0,Desarrollo del Sur SA,LA TERESA 146A ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,3,126.0954,,,,2026 - OT - 1911,,,,,0,,0,0,79632,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,142,CENTRO,Preparacion de Suelo,Corte de tranca retro excavadora x Hs,2026-02-27T00:00:00,2,,,Horas,1933,Cedrela S.A,2026-03-05T00:00:00,0.1532,41,0.1532,41,6.28,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,68.7793,431.934,0,Desarrollo del Sur SA,LA TERESA 142 ARROZ 26/27,Servicio,Corte de tranca retro excavadora x Hs,CUIDADOS,2026-03-05T00:00:00,6.28,431.934,,,,2026 - OT - 1933,,,,,0,,0,0,80844,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,201,CENTRO,Preparacion de Suelo,1° Disco,2026-02-26T00:00:00,2,,,,1814,Agro Continental S.A.,2026-03-12T00:00:00,1,11,1,11,11,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,33,363,0,Desarrollo del Sur SA,LA TERESA 201 ARROZ 26/27,Servicio,1° Disco,PREPARACION DE SUELO,2026-03-12T00:00:00,11,363,,,,2026 - OT - 1814,,,,,0,,0,0,79461,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
PARCELA ARROZ,LA TERESA,PARCELA ARROZ,CENTRO,Cuidados,,2026-02-26T00:00:00,2,COMBUSTIBLES,GASOIL,Litros,1824,,2026-02-26T00:00:00,9408,0.01,9408,0.01,94.08,Confirmado,NO,,RAFAEL HEISECKE,0.9324,0,87.7202,Desarrollo del Sur SA,LA TERESA PARCELA ARROZ 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-02-26T00:00:00,94.08,87.7202,,SURTIDOR CENTRAL,0043819,2026 - OT - 1824,,,,,0,,0,0,79479,Fariña Edilson,2026 - STK - 5258,26/27,,0,"Cerrar compuerta, corte de trancas - Sany Neumatico",,,,Insumo,0,0,,0,0,,0
